2020-03-02,9,1
2020-03-03,6,1
2020-03-03,16,1
2020-03-05,2,1
2020-03-05,3,1
2020-03-08,7,1
2020-03-08,24,1
2020-03-08,32,1
2020-03-09,8,1
2020-03-09,10,1
2020-03-09,12,1
2020-03-09,44,1
2020-03-09,46,1
2020-03-10,7,1
2020-03-10,30,1
2020-03-10,42,1
2020-03-11,5,1
2020-03-11,13,1
2020-03-11,22,1
2020-03-11,27,1
2020-03-11,33,1
2020-03-11,34,1
2020-03-11,35,1
2020-03-11,39,1
2020-03-12,15,1
2020-03-12,19,1
2020-03-12,28,1
2020-03-12,29,1
2020-03-12,31,1
2020-03-12,32,1
2020-03-12,39,1
2020-03-12,44,1
2020-03-12,46,2
2020-03-12,47,1
2020-03-12,51,1
2020-03-13,4,1
2020-03-13,8,1
2020-03-13,9,1
2020-03-13,17,1
2020-03-13,21,1
2020-03-13,22,1
2020-03-13,25,1
2020-03-13,26,1
2020-03-13,30,2
2020-03-13,36,1
2020-03-13,37,1
2020-03-13,40,1
2020-03-13,43,1
2020-03-13,48,1
2020-03-13,50,1
2020-03-14,1,1
2020-03-14,3,1
2020-03-14,11,1
2020-03-14,14,1
2020-03-14,18,1
2020-03-14,20,1
2020-03-14,23,1
2020-03-14,29,1
2020-03-14,32,1
2020-03-14,33,2
2020-03-14,35,2
2020-03-14,38,1
2020-03-14,41,1
2020-03-14,43,1
2020-03-14,45,1
2020-03-14,47,1
2020-03-14,49,1
2020-03-14,52,1
